440906,FUNDO ANTIDROGAS DO DISTRITO FEDERAL - FUNPAD,10380815,0
230903,FUNDO DA ARTE E DA CULTURA - FAC,416221,0
220905,"FUNDO DE MOD., MANUT. E REEQ. DO CBMDF - FUNCBM",3568,132
130902,FUNDO DE MODERNIZAÇÃO E REAPAR. DA ADM. FAZENDÁRIA,4014,0
200902,FUNDO DE TRANSPORTE PÚBLICO COLETIVO DO DF,12371110,0
250902,FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER,29757222,99167
220908,FUNDO PENITENCIÁRIO DO DF - FUNPDF,121040,0
120901,FUNDO DA PROCURADORIA DO DISTRITO FEDERAL,21926,190
440905,FUNDO DE APOIO E APARL. DO CENTº DE ASSIST JUD.DF,11576791,2143
180902,FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL,731985,493
10901 ,FUNDO DE ASSISTÊNCIA À SAÚDE DA CLDF.,45671657,649966
110903,FUNDO DE DEFESA DOS DIREITOS DO CONSUMIDOR,16900456,3701
130901,FUNDO DE DESENV. DO DISTRITO FEDERAL - FUNDEFE,2665926,0
280901,FUNDO DE DESENV. URBANO DO DISTRITO FEDERAL,63588890,0
210902,FUNDO DE DESENVOLV. RURAL DO DISTRITO FEDERAL,7089411,0
160903,FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA,88295,0
140905,FUNDO DE MELHORIA DA GESTÃO PÚBLICA - PRÓ-GESTÃO,1053301007,650596
220906,"FUNDO DE MOD., MANUT. E REEQ. DA PCDF - FUNPCDF",615437,0
