CODIGOUG,NOMEUG,CODIGOGESTAO,NOMEGESTAO,TESOURO,CODIGOCREDOR,NOMECREDOR,EMPENHO,LIQUIDADO,LIQUIDAR,LIQUIDOPAGO,ENCARGOSPAGO,PAGAR,PROCESSADOPAGO,LIQUIDORPNAOPROCPAGO,ENCARGOSRPNAOPROCPAGO,EXTRAORCEXERCICIOANTERIOR,R___
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,04326648000103      ,NG ENGENHARIA E CONSTRUÇOES LTDA,827967.59,702970.44,124997.15,685901.59,9689.43,349.73,0.0,129176.42,5032.85,0.0,803.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,10685932000179      ,NOVA SERV. DE TECNOLOGIA DA INFOR. E NETWORKING ME,9094.53,4967.61,4126.92,4967.61,0.0,0.0,0.0,0.0,0.0,0.0,804.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,00368019000195      ,OAB - ORDEM DOS ADVOGADOS DO BRASIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,78597150000200      ,ODEBRECHT COM. E IND. DE CAFÉ LTDA,2822.0,2822.0,0.0,2822.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,76535764000143      ,OI S.A.,8000.0,7174.63,825.37,7174.63,0.0,0.0,944.19,0.0,0.0,0.0,807.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,03863865000170      ,ORION ESTÚDIO E PRODUÇÕES DE EVENTOS LTDA-ME,45000.0,45000.0,0.0,44100.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,02080328000190      ,PAPEL VIRTUAL ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,03329163000100      ,POLO DAS TINTAS EPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,14637925000152      ,PONT COM. COMERCIO DE EQUIPAMENTOS E SERV LTDA,3459.0,3459.0,0.0,3459.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,07527036000177      ,R8 PRODUTOS METALURGICOS LTDA,0.0,0.0,0.0,0.0,0.0,0.0,21060.0,0.0,0.0,0.0,812.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,14875398000114      ,RC FERRÃO SERVIÇOS DE PRODUÇÃO EVENTO,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,1    ,TESOURO,,10433687000102      ,RCC COMÉRCIO DE MATERIAIS DE CONSTRUÇÃO LTDA,198.0,198.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0
